frequency_Hz,gain_dB,phase_deg
17.7827941004,-0.0538824260126,-6.37536324911
17.9887091513,-0.055129576122,-6.44856814214
18.1970085861,-0.0564054054468,-6.52259920151
18.4077200147,-0.0577105647718,-6.59746525106
18.6208713666,-0.0590457192442,-6.6731751915
18.8364908949,-0.0604115486718,-6.74973800039
19.0546071796,-0.061808747826,-6.8271627322
19.2752491319,-0.0632380267513,-6.90545851828
19.4984459976,-0.0647001110789,-6.98463456685
19.7242273611,-0.0661957423467,-7.06470016288
19.9526231497,-0.0677256783242,-7.14566466803
20.1836636368,-0.0692906933437,-7.22753752049
20.4173794467,-0.0708915786362,-7.31032823484
20.6538015581,-0.0725291426734,-7.39404640181
20.8929613085,-0.0742042115153,-7.47870168807
21.1348903984,-0.075917629164,-7.56430383595
21.379620895,-0.0776702579217,-7.65086266309
21.6271852373,-0.0794629787567,-7.73838806212
21.8776162395,-0.0812966916728,-7.82689000024
22.1309470961,-0.0831723160865,-7.91637851878
22.3872113857,-0.0850907912087,-8.00686373271
22.6464430759,-0.0870530764331,-8.09835583008
22.9086765277,-0.0890601517292,-8.19086507147
23.1739464997,-0.0911130180428,-8.28440178934
23.4422881532,-0.0932126977009,-8.37897638729
23.7137370566,-0.095360234823,-8.47459933941
23.9883291902,-0.0975566957381,-8.57128118938
24.2661009508,-0.0998031694076,-8.66903254969
24.5470891569,-0.102100767854,-8.76786410066
24.831331053,-0.104450626594,-8.8677865895
25.1188643151,-0.106853905079,-8.96881082922
25.4097270555,-0.109311787143,-9.07094769758
25.7039578277,-0.111825481449,-9.17420813585
26.0015956317,-0.114396221947,-9.27860314759
26.302679919,-0.117025268338,-9.38414379731
26.607250598,-0.119713906541,-9.49084120908
26.9153480393,-0.122463449159,-9.59870656506
27.2270130808,-0.125275235967,-9.70775110392
27.5422870334,-0.128150634384,-9.81798611923
27.8612116863,-0.131091039967,-9.92942295771
28.1838293126,-0.134097876902,-10.0420730174
28.510182675,-0.137172598496,-10.1559477459
